No.,Ticker,②自己資本比率,⑤業界/セクター,⑧当期売上高,成長率(最新),成長率(1期前),成長率(2期前),⑨当期純利益,利益率,配当率,⑬フェアバリュー,⑭判定,⑮自作シグナル,⑯保有,更新日時
165,HPE,N/A,Technology / Communication Equipment,38793998336,13.84%,3.40%,2.24%,57000000.0,0.15%,1.25%,40.95,適正,-,-,2026-06-12 02:49:36
166,STX,N/A,Technology / Computer Hardware,11009999872,38.86%,-11.28%,-36.68%,1469000000.0,13.34%,0.36%,54.2,割高,-,-,2026-06-12 02:49:36
167,WDC,N/A,Technology / Computer Hardware,11777000448,50.70%,0.99%,-66.72%,1861000000.0,15.80%,0.12%,91.84,割高,-,-,2026-06-12 02:49:36
168,TER,N/A,Technology / Semiconductor Equipment & Materials,3786838016,13.13%,5.36%,-15.17%,554047000.0,14.63%,0.15%,61.89,割高,-,-,2026-06-12 02:49:36
169,TYL,N/A,Technology / Software - Application,2380677888,9.10%,9.53%,5.49%,315603000.0,13.26%,0.00%,166.33,割高,-,-,2026-06-12 02:49:36
170,AKAM,N/A,Technology / Software - Infrastructure,4266646016,5.44%,4.70%,5.40%,452031000.0,10.59%,0.00%,73.61,割高,-,-,2026-06-12 02:49:36
171,FICO,N/A,Technology / Software - Application,2255802112,15.91%,13.48%,9.90%,651946000.0,28.90%,0.00%,-,-,-,-,2026-06-12 02:49:36
172,KEYS,N/A,Technology / Scientific & Technical Instruments,6088000000,7.95%,-8.88%,0.81%,850000000.0,13.96%,0.00%,99.38,割高,-,-,2026-06-12 02:49:36
173,GOOGL,N/A,Communication Services / Internet Content & Information,422498009088,15.09%,13.87%,8.68%,132170000000.0,31.28%,0.25%,113.41,割高,-,-,2026-06-12 02:49:36
174,META,N/A,Communication Services / Internet Content & Information,214962995200,22.17%,21.94%,15.69%,60458000000.0,28.12%,0.37%,279.5,割高,-,-,2026-06-12 02:49:36
175,VZ,N/A,Communication Services / Telecom Services,139146002432,2.52%,0.61%,-2.09%,17174000000.0,12.34%,6.03%,54.21,割安,-,-,2026-06-12 02:49:36
176,DIS,N/A,Communication Services / Entertainment,97263001600,3.35%,2.77%,7.47%,12404000000.0,12.75%,1.52%,102.47,割安,-,-,2026-06-12 02:49:36
177,T,N/A,Communication Services / Telecom Services,126527995904,2.71%,-0.08%,1.40%,21953000000.0,17.35%,4.78%,30.07,割安,-,-,2026-06-12 02:49:36
178,NFLX,N/A,Communication Services / Entertainment,46889992192,15.85%,15.65%,6.67%,10981201000.0,23.42%,0.00%,25.27,割高,-,-,2026-06-12 02:49:36
179,CMCSA,N/A,Communication Services / Telecom Services,125277003776,-0.02%,1.78%,0.12%,19998000000.0,15.96%,5.51%,45.84,超割安,-,-,2026-06-12 02:49:36
180,CHTR,N/A,Communication Services / Telecom Services,54635999232,-0.56%,0.88%,1.08%,4987000000.0,9.13%,0.00%,364.07,超割安,-,-,2026-06-12 02:49:36
181,TMUS,N/A,Communication Services / Telecom Services,90529996800,8.49%,3.62%,-1.27%,10992000000.0,12.14%,2.20%,127.21,割高,-,-,2026-06-12 02:49:36
182,ROKU,N/A,Communication Services / Entertainment,4965457920,15.18%,18.03%,11.45%,88361000.0,1.78%,0.00%,38.08,割高,-,-,2026-06-12 02:49:36
183,SNAP,N/A,Communication Services / Internet Content & Information,6097020928,10.63%,16.40%,0.09%,-460489000.0,-7.55%,0.00%,4.52,適正,-,-,2026-06-12 02:49:36
184,PINS,N/A,Communication Services / Internet Content & Information,4374292992,15.79%,19.35%,9.01%,416855000.0,9.53%,0.00%,15.86,割高,-,-,2026-06-12 02:49:36
185,BIDU,N/A,Communication Services / Internet Content & Information,128701997056,-3.04%,-1.09%,8.83%,5589000000.0,4.34%,0.00%,154.87,割安,-,-,2026-06-12 02:49:36
186,SPOT,N/A,Communication Services / Internet Content & Information,17528999936,9.65%,18.31%,12.96%,2212000000.0,12.62%,0.00%,140.11,割高,-,-,2026-06-12 02:49:36
187,LYV,N/A,Communication Services / Entertainment,25612318720,8.83%,1.89%,36.24%,495972000.0,1.94%,0.00%,-,-,-,-,2026-06-12 02:49:36
188,WMG,N/A,Communication Services / Entertainment,7128999936,4.37%,6.44%,1.99%,365000000.0,5.12%,2.65%,7.9,割高,-,-,2026-06-12 02:49:36
189,EA,N/A,Communication Services / Electronic Gaming & Multimedia,7530999808,0.91%,-1.31%,1.83%,887000000.0,11.78%,0.37%,76.35,割高,-,-,2026-06-12 02:49:36
190,TTWO,N/A,Communication Services / Electronic Gaming & Multimedia,6656399872,18.16%,5.31%,-0.01%,-298200000.0,-4.48%,0.00%,65.47,割高,-,-,2026-06-12 02:49:36
191,MTCH,N/A,Communication Services / Internet Content & Information,3519952896,0.22%,3.41%,5.51%,613446000.0,17.43%,2.33%,-,-,-,-,2026-06-12 02:49:36
192,SIRI,N/A,Communication Services / Entertainment,8581000192,-1.62%,-2.84%,-0.56%,805000000.0,9.38%,3.91%,51.49,超割安,-,-,2026-06-12 02:49:36
193,FOXA,N/A,Communication Services / Entertainment,16200999936,16.60%,-6.26%,6.72%,2263000000.0,13.97%,0.82%,58.02,適正,-,-,2026-06-12 02:49:36
194,NYT,N/A,Communication Services / Publishing,2874144000,9.24%,6.59%,5.10%,343981000.0,11.97%,1.26%,29.9,割高,-,-,2026-06-12 02:49:36
195,WPP,N/A,Communication Services / Advertising Agencies,13550000128,-8.08%,-0.70%,2.88%,-215000000.0,-1.59%,5.51%,15.27,適正,-,-,2026-06-12 02:49:36
196,TME,N/A,Communication Services / Internet Content & Information,33440999424,15.85%,2.34%,-2.07%,11056000000.0,33.06%,2.61%,13.35,割安,-,-,2026-06-12 02:49:36
197,DASH,N/A,Consumer Cyclical / Internet Retail,14721000448,27.93%,24.17%,31.17%,935000000.0,6.35%,0.00%,64.15,割高,-,-,2026-06-12 02:49:36
198,SE,N/A,Consumer Cyclical / Internet Retail,25194858496,36.38%,28.75%,4.93%,1578149000.0,6.26%,0.00%,50.06,割高,-,-,2026-06-12 02:49:36
199,TCEHY,N/A,Communication Services / Internet Content & Information,768201981952,13.86%,8.41%,9.82%,224842000000.0,29.27%,1.14%,46.26,適正,-,-,2026-06-12 02:49:36
200,NTES,N/A,Communication Services / Electronic Gaming & Multimedia,114388541440,6.96%,1.77%,7.23%,33759800000.0,29.51%,2.41%,42.64,割高,-,-,2026-06-12 02:49:36
